academic_year,legacy,gender,campus_visit_date_exists,gpa_points,est_household_income_rank,IMP_ZIP_MILES_FROM_CAMPUS,leadsource_code,minority,IMP_SCHOOL_TYPE,IMP_ZIP_MEDIAN_INCOME_2,ACCEPTED,ACTIVE_PAID,miles_norm,gpa_norm,income_rank_norm,zip_rank_norm
2020,0,Female,1,10,10,173,IOC,0,Public,89822,1,0,0.039377289377289376,1.0,0.8181818181818182,0.5029135597125213
2020,1,Female,1,10,5,198,ISH,0,Public,56306,1,0,0.0451007326007326,1.0,0.36363636363636365,0.3145801608217531
2020,1,Female,1,1,6,43,IRA,0,IndependentNotReligious,40467,1,1,0.009615384615384616,0.1,0.45454545454545453,0.22557751417445396
2020,1,Female,1,2,12,174,ITW,0,IndependentNotReligious,91954,1,0,0.039606227106227104,0.2,1.0,0.5148937126673822
2020,0,Male,1,5,6,49,ICV,0,IndependentNotReligious,90024,1,1,0.01098901098901099,0.5,0.45454545454545453,0.5040486398705334
2020,0,Male,0,6,7,167,IPA,0,IndependentNotReligious,66214,1,1,0.038003663003663,0.6,0.5454545454545454,0.3702552806513787
2020,0,Male,1,0,7,155,IOC,0,Public,51186,1,0,0.035256410256410256,0.0,0.5454545454545454,0.28580981226223723
2020,0,Male,0,9,11,1915,ISA,0,Public,58354,1,0,0.4381868131868132,0.9,0.9090909090909091,0.3260883002455594
2020,0,Female,1,1,1,51,ISA,0,IndependentNotReligious,58821,1,1,0.011446886446886446,0.1,0.0,0.32871247070987464
2020,0,Female,1,10,10,900,ICV,0,Public,63976,1,0,0.2058150183150183,1.0,0.8181818181818182,0.35767949157399653
2020,0,Male,1,5,8,1030,IOC,0,OtherIndependentReligious,104769,1,0,0.23557692307692307,0.5,0.6363636363636364,0.5869038721967172
2020,0,Female,1,10,6,196,ICM,0,Public,79176,1,1,0.044642857142857144,1.0,0.45454545454545453,0.4430914638600592
2020,0,Female,1,10,6,53,ICV,0,Public,80482,1,1,0.011904761904761904,1.0,0.45454545454545453,0.450430150426217
2020,0,Male,1,4,6,45,IRB,0,Public,78388,1,1,0.010073260073260074,0.4,0.45454545454545453,0.43866352740207126
2020,0,Female,1,2,7,327,ICV,0,Public,62063,1,0,0.07463369963369963,0.2,0.5454545454545454,0.3469299453250993
